host,virus,longitude,latitude,n_tested,n_positive,prevalence
Micromys minutus,Orthohantavirus hantanense,127.699577822968,38.1277580337753,1,0,0
Micromys minutus,Orthohantavirus hantanense,127.715506079355,37.9196941410611,2,0,0
Micromys minutus,Orthohantavirus hantanense,127.7278,37.8805,2,0,0
Micromys minutus,Orthohantavirus hantanense,127.802258693049,36.608761947948,1,0,0
Micromys minutus,Orthohantavirus hantanense,127.888736853077,37.7405383619472,1,0,0
Micromys minutus,Orthohantavirus hantanense,128.794317212661,35.9633940825083,1,0,0
Micromys minutus,NA,127.655,36.77,1,0,0
Microtus fortis,Orthohantavirus hantanense,126.85006,37.978308,20,1,0.05
Microtus fortis,Orthohantavirus hantanense,127.069804955727,38.0257173638773,50,0,0
Microtus fortis,Orthohantavirus hantanense,127.07705,38.11002,1,0,0
Microtus fortis,Orthohantavirus hantanense,127.08,38.1,3,0,0
Microtus fortis,Orthohantavirus hantanense,127.1069191,38.051592,2,0,0
Microtus fortis,Orthohantavirus hantanense,127.2165,38.2107,1,0,0
Microtus fortis,Orthohantavirus hantanense,127.25,37.25,96,35,0.3645833333333333
Microtus fortis,Orthohantavirus hantanense,127.321259676475,38.0877828533562,3,0,0
Mus musculus,Orthohantavirus hantanense,126.85006,37.978308,66,6,0.09090909090909091
Mus musculus,Orthohantavirus hantanense,126.8525,36.994,7,0,0
Mus musculus,Orthohantavirus hantanense,126.983782,37.922854,13,0,0
Mus musculus,Orthohantavirus hantanense,127.069804955727,38.0257173638773,6,0,0
Mus musculus,Orthohantavirus hantanense,127.07705,38.11002,6,0,0
Mus musculus,Orthohantavirus hantanense,127.08,38.1,9,0,0
Mus musculus,Orthohantavirus hantanense,127.1056,38.1668,4,0,0
Mus musculus,Orthohantavirus hantanense,127.1069191,38.051592,3,0,0
Mus musculus,Orthohantavirus hantanense,127.2165,38.2107,9,0,0
Mus musculus,Orthohantavirus hantanense,127.230767489624,38.2565287261733,1,0,0
Mus musculus,Orthohantavirus hantanense,127.25,37.25,7,0,0
Mus musculus,Orthohantavirus hantanense,127.321259676475,38.0877828533562,6,0,0
Mus musculus,Orthohantavirus hantanense,127.7054,38.1067,1,0,0
Mus musculus,Orthohantavirus hantanense,127.98319770434,38.1282912347283,2,0,0
Mus musculus,Orthohantavirus seoulense,126.981347876121,37.5316127869703,22,0,0
Mus musculus,Orthohantavirus seoulense,126.981610609304,37.5300005805077,11,0,0
Mus musculus,NA,126.98,37.53,1,0,0
Myodes regulus,Orthohantavirus hantanense,126.7778,37.7596,1,0,0
Myodes regulus,Orthohantavirus hantanense,126.833362833606,36.708826907126,7,0,0
Myodes regulus,Orthohantavirus hantanense,126.8486,35.1653,48,3,0.0625
Myodes regulus,Orthohantavirus hantanense,126.901068673171,37.1841295149966,1,0,0
Myodes regulus,Orthohantavirus hantanense,126.983782,37.922854,18,0,0
Myodes regulus,Orthohantavirus hantanense,127.0688,38.0237,2,0,0
Myodes regulus,Orthohantavirus hantanense,127.07705,38.11002,1,0,0
Myodes regulus,Orthohantavirus hantanense,127.08,38.1,2,0,0
Myodes regulus,Orthohantavirus hantanense,127.1056,38.1668,10,0,0
Myodes regulus,Orthohantavirus hantanense,127.1069191,38.051592,1,0,0
Myodes regulus,Orthohantavirus hantanense,127.202452754692,37.9108405306045,3,0,0
Myodes regulus,Orthohantavirus hantanense,127.2165,38.2107,1,0,0
Myodes regulus,Orthohantavirus hantanense,127.230767489624,38.2565287261733,7,0,0
Myodes regulus,Orthohantavirus hantanense,127.321259676475,38.0877828533562,68,1,0.014705882352941176
Myodes regulus,Orthohantavirus hantanense,127.510286820091,37.8319928933462,1,0,0
Myodes regulus,Orthohantavirus hantanense,127.699577822968,38.1277580337753,12,0,0
Myodes regulus,Orthohantavirus hantanense,127.715506079355,37.9196941410611,3,0,0
Myodes regulus,Orthohantavirus hantanense,127.715670618227,35.9350076875605,84,14,0.16666666666666666
Myodes regulus,Orthohantavirus hantanense,127.802258693049,36.608761947948,29,5,0.1724137931034483
Myodes regulus,Orthohantavirus hantanense,127.888736853077,37.7405383619472,148,19,0.12837837837837837
Myodes regulus,Orthohantavirus hantanense,127.896494409833,37.7763148819193,7,0,0
Myodes regulus,Orthohantavirus hantanense,127.98319770434,38.1282912347283,1,0,0
Myodes regulus,Orthohantavirus hantanense,128.125745713775,36.7065351614225,13,1,0.07692307692307693
Myodes regulus,Orthohantavirus hantanense,128.165724859812,38.0967373285147,5,0,0
Myodes regulus,Orthohantavirus hantanense,128.167164395972,38.1142586383,17,3,0.17647058823529413
Myodes regulus,Orthohantavirus hantanense,128.402480061028,37.3939106141483,4,0,0
Myodes regulus,Orthohantavirus hantanense,128.794317212661,35.9633940825083,9,1,0.1111111111111111
Myodes regulus,Orthohantavirus puumalaense,126.471956397527,35.2673038367178,4,0,0
Myodes regulus,Orthohantavirus puumalaense,126.779489406095,36.6594497811403,7,0,0
Myodes regulus,Orthohantavirus puumalaense,127.097369206708,37.8638418590132,39,0,0
Myodes regulus,Orthohantavirus puumalaense,127.709581114814,35.9514114947102,108,15,0.1388888888888889
Myodes regulus,Orthohantavirus puumalaense,128.167,38.067,7,7,1
Myodes regulus,Orthohantavirus puumalaense,128.17869196303,36.6247218062977,13,0,0
Myodes regulus,Orthohantavirus puumalaense,128.194333400151,37.7952305479509,268,25,0.09328358208955224
Myodes regulus,Orthohantavirus puumalaense,128.4,37.367,2,2,1
Myodes regulus,NA,127.655,36.77,7,1,0.14285714285714285
Myodes rufocanus,Orthohantavirus hantanense,127.25,37.25,30,0,0
Rattus norvegicus,Orthohantavirus hantanense,126.8525,36.994,3,0,0
Rattus norvegicus,Orthohantavirus hantanense,127.07705,38.11002,4,0,0
Rattus norvegicus,Orthohantavirus hantanense,127.08,38.1,15,0,0
Rattus norvegicus,Orthohantavirus hantanense,127.1069191,38.051592,11,0,0
Rattus norvegicus,Orthohantavirus hantanense,127.230767489624,38.2565287261733,1,0,0
